N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"76,600",600,+0.79%,100,"4,572,853","5,969,783",51.76,"11,885,200",16.13,9.99
2,SK하이닉스,"107,000",500,+0.47%,"5,000","778,963","728,002",46.42,"2,493,048",13.39,9.53
3,NAVER,"452,500","10,000",+2.26%,100,"743,292","164,263",57.09,"644,049",4.50,15.22
4,카카오,"156,500","1,500",+0.97%,100,"695,967","444,707",32.17,"1,922,024",145.85,2.70
5,삼성바이오로직스,"951,000","3,000",+0.32%,"2,500","629,229","66,165",10.55,"53,074",187.94,N/A
6,삼성전자우,"71,100",800,+1.14%,100,"585,072","822,887",75.19,"730,046",14.97,N/A
7,삼성SDI,"760,000","10,000",+1.33%,"5,000","522,610","68,765",44.64,"209,430",56.31,4.54
8,LG화학,"725,000","14,000",+1.97%,"5,000","511,794","70,592",46.44,"704,067",19.53,2.93
9,현대차,"214,500","3,000",+1.42%,"5,000","458,318","213,668",28.50,"604,501",15.54,2.04
10,셀트리온,"283,000","5,000",-1.74%,"1,000","390,355","137,935",20.84,"435,605",66.35,16.68
11,카카오뱅크,"80,800","1,100",-1.34%,"5,000","383,881","475,100",7.16,"3,933,757",261.49,5.08
12,기아,"85,900","2,100",+2.51%,"5,000","348,207","405,363",33.90,"1,231,346",10.03,5.05
13,POSCO,"348,000","5,500",+1.61%,"5,000","303,410","87,187",54.26,"414,516",7.87,3.61
14,현대모비스,"278,000","2,500",+0.91%,"5,000","263,525","94,793",35.47,"173,087",11.93,4.66
15,SK바이오사이언스,"335,000","28,000",+9.12%,500,"256,275","76,500",4.65,"3,380,797",163.18,13.25
16,LG전자,"153,500","14,000",+10.04%,"5,000","251,199","163,648",31.18,"4,002,038",18.57,13.23
17,크래프톤,"509,000","17,500",+3.56%,100,"249,163","48,951",6.11,"335,280",43.82,61.86
18,삼성물산,"132,000",500,+0.38%,100,"246,691","186,887",15.11,"179,842",15.05,3.81
19,SK이노베이션,"250,000","2,500",+1.01%,"5,000","231,164","92,466",22.79,"289,254",-51.79,-13.58
20,LG생활건강,"1,444,000","29,000",-1.97%,"5,000","225,527","15,618",45.43,"29,499",30.32,17.92
21,SK텔레콤,"305,500","2,500",-0.81%,500,"220,144","72,060",45.04,"266,605",11.60,6.44
22,KB금융,"52,900",200,-0.38%,"5,000","219,962","415,808",67.56,"948,850",5.21,8.53
23,신한지주,"38,700",100,-0.26%,"5,000","199,924","516,600",60.33,"783,708",5.01,8.20
